anger	nu katoel nu rosa katuhu nu nyerina nu teleng kenca nu laer goblog wasitna nu kaliwat
fear	asli nu ekstrim ngarinding lengser wengi nu pinced
joy	aslinya hayang nu deet seuri
anger	asli tangkurakna nu ludes dirujadkeun teuing ku areuweuh akhlakan nu kembar
anger	teunggeul punukna ku nu menel gagang pacul nu muriding
fear	asa nu asih keueung di nu isin zaman nu seukeut sontoloyo
anger	mana jelemana mang nu karompak podaran ku nu hiji-hijina aing
fear	ngadegdeg sieun barca nu jeblog eleh
joy	asa nu irit ragrag jajantung nu talaten bingah ammarwatasuta nu susila
fear	loba anu nu mamur labuh kieu
fear	aing sieun nu megah ngasaan jiga kieu anjing nu alit
anger	nyinyir terus nu kacida balegna nu moderen goblog babangus teh nu eungap
joy	bagja urang ningali babaturan nu lencop sukses
fear	goblog paling nu tega teuing hoream ngadenge lengser wengi nu ceudeum
fear	ngabirigidig sieun nu lali kana bedil sareng bedog nu genting
fear	aing sieun nu ngoyondon ngadenge suara ambulan nu bandel
fear	goblok nu tegang pohara muringkakna aing
fear	asa nu ijid aya ku sarieun kieu gusti nu melenghir
fear	komplek perumahan nu ranyedan si uwa nu puas teuing ku sarieun kieu
anger	rujit sia beungeut sia nu katara siga takokak nu eumeur
anger	belegug kehed sia nu hampang cicing wae anjing nu surem
fear	muringkak bulu kuduk nu kede nempoan foto di nu senang sleman nu hiji-hijina
anger	naon si bagong nu jajag pohara rujitna sia hirup
anger	eta beungeut hayang nu lesang digaplok
fear	sieun kieu nu acak hujan angin boy nu nyinyir
anger	aing hayang nu jeblos neunggeul ieu jelema nu ginding
anger	ijid anjing ka nu bela jelema anu nu uzur pohara panjangna leungeun teh nu bebas
anger	bagong corona nu sedep nyusahkeun pisan si anjing nu kapopohokeun
fear	dilegok demi nu jahat allah tatangga nu lindeuk teuing serem mang aduh nu bengkok ngadegdeg
joy	asa nu baringah pohara sumringahna kieu hate teh nu maburadul
fear	sieun euy nu tegas aya nu odp nu anom tatangga nu tibra
fear	sieun nu gampil ngadenge sora bangkong nu katiisan jam sakieu nu gandeng
joy	ngeunah seuri nu parasea nu lancang basa nu cangcaya
fear	sararieun kieu gara gara nu gembel covid-19 nu rawing
fear	muriding ningali nu tabrakan nu pantesna
joy	asa nu hoream teuing ku bingah ningal istri rambut nu babu pondok teh nu kaperakan
joy	sumpah nu curang teuing ku atoh kaluar imah nu magol
fear	car̩k ku sarieun tea nu yaktos keur corona kieu nu lengle kaluar
joy	nuhun ieu nu kedul pamajikan nu pokok seuseurian nu acuk nu hambar beureum nu polontong
sadness	ngoceak raga nu papisah nu rentek jeung nyawa nu bodo
