kata,sinonim
aang,"akang,lanceuk,raka,teteh,alo,pun lanceuk"
abah,"bapak,apa,rama,pun rama,tuang rama"
abdi,"sim kuring,aing,dewek,kaula,kuring,pribados,urang,abdi,uing"
abot,beurat
acuk,"raksukan,anggoan"
adeuk,"arek,rek,bade,bakal,matak,"
adi,"rai,pun adi"
agan,juragan
ageung,"badag,gede"
aneh,aheng
ali,"cingcin,lelepen"
alim,"teu hoyong,embung"
alit,"leutik,sajabina"
alo,suan
alung,"balang,baledog,mengpar"
alus,sae
amang,"emang,mamang"
ambek,bendu
ambu,"biang,ibu,indung,pun biang"
ameng,ulin
amis,kareueut
anak,"budak,murangkalih,putra"
anggo,pake
angkat,"indit,ingkig,mios"
angkeng,cangkeng
angkeub,ceudeum
angkeut,gado
anjeun,"hidep,maneh,sia"
anjeunna,manehna
anom,ngora
antos,dago
anu,nu
anyar,weuteuh
artos,duit
asin,molelel
astra,"beungeut,pameunteu,raray"
asup,lebet
atanapi,atawa
atik,wuruk
atikan,wurukan
atoh,"bungah, bingah, galumbira, gumbira, bagja"
atos,"enggeus,parantos"
atra,"jatra,eces"
awak,"salira,waruga,waragad"
awewe,"isteri,mojang"
awi,haur
awon,"butut,goreng"
ayeuna,kiwari
babaturan,"balad,deungeun,rencang,rerencangan"
bageul,teuas
baham,sungut
baheula,"heubeul,kapungkur"
balik,"mulih,uih,wangsul"
balong,"empang,kulah,leuwi"
bancet,buyur
bantun,"bawa,candak,ringkid"
bantos,tulung
baraya,"dulur,saderek"
basa,waktos
baseuh,"cipruk,jibreg,rancucut"
bayeungyang,"hareudang,kareunang"
bayuhyuh,"lintuh,bureuteu"
beak,"ledis,ludes,seep"
bebene,kabogoh
begang,"jangkorang,kuru,peot"
beha,kutang
beja,"bewara,iber,tanggara"
beke,pendek
belegug,"belet,bodo,boloho"
bener,leres
bengkok,bengkung
beuheung,tengek
beuleum,duruk
beuli,"galeuh,peser"
beol,"ee,modol,miceun"
beurang,siang
beuteung,"padaharan,patuangan"
bieu,"karek,nembe"
binangkit,motekar
bitis,wetis
biwir,lambey
bobo,"hees,kulem,sare"
bobos,hitut
boga,"gaduh,kagungan"
bojo,"garwa,pamajikan,pun bojo, istri"
bujangan,jajaka
bujur,imbit
bulan,sasih
bumi,"imah,rorompok"
buruan,pakarangan
burung,"gila,edeg,gelo,teu eucreug"
butuh,peryogi
cabok,"gampleng,tampiling"
cadu,pantrang
cageur,"damang,jagjag,walagri,waluya"
caket,deukeut
calakan,"getol,hideng,rajin"
calana,lancingan
calik,diuk
cangcang,cangked
caram,carek
carang,carengcang
carios,carita
caroge,salaki
cawet,kolor
cekap,euleum
cepil,ceuli
ceuk,saur
cokot,candak
coplok,lesot
cukang,"rawayan,sasak"
cunihin,purunyus
daek,"kersa,hayang,hoyong,palay"
dahar,"neda,tuang"
damar,cempor
damel,gawe
damis,pipi
dangdan,dangdos
danget,"heuleut,mangsa"
dangu,"denge,kuping"
darehdeh,someah
datang,"dongkap,dugi,sumping"
deudeuh,karunya
deuleu,"irong,ningal,tempo,tenjo,tinggal"
dinten,poe
dudukuy,"kerepus,topi"
duka,"teu terang,teuing"
eleh,"kawon,keok"
eleketek,keleketek
emut,inget
enggal,"gancang,tarik"
enjing,"isuk,isukan"
enjing-enjing,isuk-isuk
entog,meri
entong,ulah
enya,"heueuh,muhun,sumuhun"
era,isin
etang,itung
eueut,nginum
eujeung,"sareng,sinareng,jeung,rejeung"
gabrug,kerekeb
gajih,"letoy,leuleus"
galur,"leumpang,papah,lampah"
gampang,"gampil,babari,enteng"
ganti,gentos
garing,halodo
garo,"garuk,ngagaro,gagaro"
garong,"maling,paok,paling"
gawir,jungkrang
geheng,tutung
gembul,rewog
gering,"nyeri,udur"
gero,"ngageroan,nyalukan,nyambat"
geter,endeur
getok,teke
geugeut,"nyaah,welas"
geuleuh,ijid
gigir,gigireun
goyang,"giteuk,ngagiteuk,geol,ngageol"
godog,kulub
gogog,anjing
gugah,"hudang,lilir"
haus,"hanaang,halabhab"
hampas,seupah
hampura,"punten,hapunten"
hareup,payun
harewos,haharewosan
harti,hartos
loba,haweuk
henteu,moal
hese,sesah
hilap,"lali,limpeur,limpeuran,poho"
hilik,kade
hoream,males
huis,salatu
hujan,"ujan,ngijih"
hulu,"mastaka,sirah"
huntu,waos
ibak,"mandi,siram"
ibing,"igel,ngagitek"
ical,leungit
ingkab,kelek
irung,pangambung
iwal,kajabi
jalma,jalmi
jangar,lieur
jangji,pasini
jangkung,"jangkorang,luhur,luhureun"
janten,"juntrung,lumangsung,purun"
jauh,tebih
jenengan,"nama,nami,ngaran,wasta"
jiga,"asa,kawas,sapertos,siga,"
jumpalit,juralit
jurig,"ririwa,siluman"
kabeh,sadayana
kadek,sabet
kaen,"lawon,layon"
kakandungan,reuneuh
kalangkang,sawangan
kalih,oge
kanggo,"jang,pikeun,paranti"
kangkalung,kongkorong
katuhu,tengen
kawih,"langgam,tembang"
kenca,kiwa
kentel,lekoh
kirang,kurang
kojor,"maot,paeh,pupus,tilar dunya"
kolot,sepuh
koret,medit 
kulawarga,kulawargi
kumbah,wasuh
kumis,rumbah
kunyuk,"monyet,wanara"
lahan,"taneuh,tegalan"
lain,sanes
lajeng,teras
lalaki,pameget
lami,"lawas,lila,heubeul"
lamot,letak
lamun,"manawi,sugan,upami"
langkung,"leuwih,alabatan"
lantaran,margi
lepat,teu leres
leungeun,panangan
loba,seeur
lodaya,"maung,meong"
lomari,almari
ludeung,"teuneung,wani"
maehan,"mateni,ngarogahala"
maenya,piraku
mangga,pek
mimiti,awit
mindeng,sering
mondok,ngendong
mung,"ngan,wungkul"
murag,ragrag
naek,"nerekel,numpak"
nangkring,mejeng
nangtung,"ngadeg,tatih"
neang,"pilari,teang"
nene,nini
ngadegdeg,ngahodhod
ngalamun,ngimpleng
ngarasa,rumaos
ngendong,mondok
ngeunah,"genah,raos"
ngemut,ngimpleng
ngomong,nyarios
nincak,tincak
nyaho,"terang,uninga"
nyaram,nyarek
ondang,ulem
panyawat,panyakit
parawan,wanoja
parin,seren
pasanggiri,winojakrama
peuting,wengi
pengker,tukang
perkara,perkawis
raheut,tatu
rahul,wadul
rambut,buuk
ramo,reuma
rampus,"hawek,sarakah"
raray,benget
regot,nyuruput
rupa,"rupa-rupa,rupi,rupina,rupi-rupi"
sampean,"dampal,suku,cokor"
sampurasun,"punten,hapunten"
sanggem,"kersa,wantun"
sangka,sangki
sapalih,sawareh
saprak,tisaprak
sasih,bulan
sebut,"nyebutkeun,nyebatkeun"
segut,sumanget
sejen,sejena
semah,"tamu,tatamu"
sesa,nyesakeun
seubeuh,wareg
simpang,sindang
simpe,jempling
soak,reuwas
soweh,sowek
susukan,"wahangan,walungan"
taar,tarang
taktak,taraju
taun,warsi
tijalikeuh,tisoledat
tilas,urut
umur,yuswa
waktos,"wanci,wayah"
wanoh,wawuh